PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,2095710358,48.318016,-11.765663,-57.655933,-1.3119249,-0.709934,1.1232142,-1.400107,-1.5536234,-0.00555861,0.0,0.0,0.0,0.0,0.0,0.0
1,2095727025,48.28356,-11.776871,-57.624355,-1.0384111,-0.64751816,0.96616554,-1.5787592,-1.6233178,0.086986065,-0.017307,-0.010792,0.016103,-0.026313,-0.027055,0.00145
2,2095743692,48.2472,-11.788681,-57.591686,-0.7412019,-0.5799247,0.7953272,-1.7681932,-1.6944281,0.18607402,-0.02966,-0.020457,0.029358,-0.055783,-0.055295,0.004551
3,2095760359,48.20951,-11.800922,-57.558483,-0.42457676,-0.5081364,0.6131649,-1.9657371,-1.7656667,0.29031718,-0.036736,-0.028926,0.039577,-0.088545,-0.084723,0.00939
4,2095777026,48.15963,-11.817219,-57.51338,-0.0014925003,-0.41215897,0.36957455,-2.22646,-1.8630306,0.42843628,-0.036761,-0.035795,0.045737,-0.125653,-0.115774,0.016531
5,2095793693,48.09986,-11.836781,-57.458904,0.5103612,-0.29608703,0.074715614,-2.538567,-1.980593,0.59440494,-0.028255,-0.04073,0.046982,-0.167962,-0.148784,0.026438
6,2095810360,48.04722,-11.852951,-57.420925,0.8478198,-0.2180605,-0.117144585,-2.769989,-2.0428243,0.6870452,-0.014125,-0.044364,0.04503,-0.214128,-0.182831,0.037889
7,2095827027,48.0017,-11.865589,-57.40038,0.99794626,-0.18083096,-0.1982851,-2.9157424,-2.0458088,0.7005048,0.002507,-0.047378,0.041725,-0.262724,-0.216928,0.049564
8,2095843694,47.956627,-11.877399,-57.386578,1.0749984,-0.15926945,-0.23580217,-3.0313413,-2.0215015,0.67897654,0.020424,-0.050032,0.037795,-0.313246,-0.25062,0.06088
9,2095860361,47.916252,-11.886662,-57.38635,1.0086627,-0.16886914,-0.18842316,-3.0820377,-1.9494818,0.5949898,0.037235,-0.052846,0.034655,-0.364613,-0.283111,0.070796
10,2095877028,47.86767,-11.898315,-57.381504,0.97621393,-0.17024648,-0.1597929,-3.160018,-1.8806175,0.51516604,0.053505,-0.055683,0.031992,-0.41728,-0.314455,0.079382
11,2095893695,47.81002,-11.91264,-57.371136,0.9872775,-0.16125655,-0.1555214,-3.2703075,-1.8172884,0.4428326,0.06996,-0.058371,0.0294,-0.471785,-0.344743,0.086763
12,2095910362,47.753242,-11.925735,-57.37016,0.8924546,-0.1749568,-0.08808756,-3.3370652,-1.7161916,0.32064152,0.084834,-0.061287,0.027932,-0.527403,-0.373346,0.092107
13,2095927029,47.694466,-11.938675,-57.37476,0.7283912,-0.20318317,0.021122456,-3.379634,-1.5875685,0.16202736,0.096974,-0.064673,0.028284,-0.58373,-0.399805,0.094807
14,2095943696,47.63662,-11.9555855,-57.365223,0.6498933,-0.217561,0.076088905,-3.3960936,-1.4533126,0.0499959,0.107806,-0.068299,0.029552,-0.640332,-0.424027,0.09564
15,2095960363,47.5812,-11.976414,-57.341457,0.65229464,-0.21969569,0.079043865,-3.3762186,-1.3094711,-0.015193582,0.118678,-0.071961,0.030869,-0.696602,-0.445852,0.095387
16,2095977030,47.52471,-11.99995,-57.31033,0.68584585,-0.21778071,0.06171894,-3.3332489,-1.1518524,-0.064451456,0.130109,-0.075591,0.031898,-0.752156,-0.46505,0.094313
17,2095993697,47.46833,-12.027252,-57.26679,0.7879071,-0.20523405,0.00071287155,-3.2630656,-0.9843877,-0.076891065,0.143241,-0.079012,0.03191,-0.80654,-0.481456,0.093031
18,2096010364,47.412804,-12.05497,-57.226246,0.8286166,-0.20738924,-0.02479124,-3.146254,-0.7821309,-0.116399646,0.157051,-0.082468,0.031497,-0.858978,-0.494492,0.091091
19,2096027031,47.357964,-12.0830345,-57.189327,0.8017373,-0.22547388,-0.010976315,-2.9817119,-0.54339784,-0.18630683,0.170413,-0.086226,0.031314,-0.908673,-0.503549,0.087986
20,2096043698,47.304604,-12.114014,-57.14401,0.8027091,-0.24159276,-0.016663074,-2.7737677,-0.2830037,-0.23722875,0.183791,-0.090253,0.031036,-0.954902,-0.508266,0.084032
21,2096060365,47.252907,-12.147236,-57.093517,0.80305624,-0.26141274,-0.02457571,-2.5165985,0.005309224,-0.28295588,0.197175,-0.09461,0.030626,-0.996845,-0.508178,0.079316
22,2096077032,47.20957,-12.181656,-57.055195,0.7976775,-0.27566826,-0.02847433,-2.316434,0.22258282,-0.2955699,0.21047,-0.099204,0.030151,-1.035452,-0.504468,0.07439
