PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,2095564428,-5.996567,3.2533722,51.726852,1.7498946,0.916679,1.5940266,3.2134695,2.1771166,1.0080762,0.0,0.0,0.0,0.0,0.0,0.0
1,2095581095,-6.0393677,3.242199,51.674377,1.4658575,0.86083496,1.4575145,3.1525085,2.115284,1.0683212,0.024431,0.014347,0.024292,0.052542,0.035255,0.017805
2,2095597762,-6.084656,3.2304382,51.619034,1.1572161,0.8001249,1.3093793,3.086172,2.0526235,1.1336603,0.043718,0.027682,0.046115,0.103978,0.069465,0.036699
3,2095614429,-6.1317596,3.2182503,51.561646,0.82841825,0.7354363,1.1517727,3.0151448,1.9903373,1.2031116,0.057525,0.039939,0.065311,0.15423,0.102637,0.056751
4,2095631096,-6.194153,3.2021828,51.485474,0.3890438,0.6487683,0.9409964,2.924799,1.9042144,1.2964525,0.064009,0.050752,0.080994,0.202977,0.134374,0.078359
5,2095647763,-6.268936,3.1829758,51.39409,-0.14253235,0.54377735,0.68595934,2.8180501,1.7998176,1.4096425,0.061633,0.059815,0.092427,0.249945,0.164371,0.101853
6,2095664430,-6.3342743,3.1720047,51.318604,-0.49306583,0.47482657,0.5170131,2.7467406,1.7136192,1.491113,0.053415,0.067729,0.101044,0.295724,0.192931,0.126705
7,2095681097,-6.39003,3.1699066,51.259644,-0.6491318,0.444584,0.44048882,2.7137942,1.6458042,1.538758,0.042596,0.075139,0.108385,0.340954,0.220361,0.152351
8,2095697764,-6.4448395,3.1717682,51.204544,-0.72935677,0.4294486,0.39988136,2.6963782,1.5824933,1.5746691,0.03044,0.082296,0.11505,0.385894,0.246736,0.178595
9,2095714431,-6.4932556,3.180645,51.16124,-0.66074276,0.4439422,0.42999172,2.708498,1.5328584,1.5852551,0.019428,0.089695,0.122217,0.431036,0.272284,0.205016
10,2095731098,-6.551819,3.1890411,51.10701,-0.6273594,0.45143938,0.44284916,2.7159548,1.4689256,1.6060722,0.008972,0.097219,0.129598,0.476302,0.296766,0.231784
11,2095747765,-6.6216125,3.1965675,51.040512,-0.6392031,0.44994998,0.43367624,2.7169406,1.3891591,1.6391335,-0.001681,0.104718,0.136826,0.521584,0.319919,0.259103
12,2095764432,-6.6898193,3.2096977,50.97975,-0.5411577,0.47033477,0.4765129,2.7407486,1.3151767,1.6550341,-0.0107,0.112557,0.144768,0.567263,0.341839,0.286687
