PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
9566,3717677012,-179.6316833,-63.41901016,-29.48374557,8.89134407,-0.286029518,-4.13726759,6.360849857,-3.375747681,-1.284918785
9567,3717693679,-179.894104,-63.42333984,-29.4028244,8.988759995,-0.49526009,-4.731630325,-10.0710392,0.845078468,-1.978536963
9568,3717710346,-179.8891602,-63.52937317,-29.3965435,8.520728111,-0.279171258,-4.176899433,1.9614079,6.958432674,0.016468966
9569,3717727013,-179.8650665,-63.49567795,-29.41303825,8.851054192,-0.229754031,-4.161818504,1.89040935,-1.423265815,0.640586436
9570,3717743680,-179.8535919,-63.56034088,-29.41314125,9.151384354,-0.274398297,-4.59843874,2.015373707,4.477138519,0.188368604
9571,3717760347,-179.8936157,-63.68336105,-29.38097,8.853398323,-0.1821803,-4.245788097,0.658937991,7.975885391,-0.678025901
9572,3717777014,-179.9706573,-63.72673035,-29.33130455,8.635186195,-0.035711691,-4.243550777,-0.61679852,3.197360992,-1.128476262
9573,3717793681,-179.9697113,-63.72815323,-29.30845833,8.631759644,0.010480039,-4.407990932,2.61620903,0.683577299,-0.411832988
9574,3717810348,-179.9336395,-63.72029877,-29.29586411,8.765369415,-0.06816303,-4.388605595,4.176599026,0.126462698,-0.13885282
9575,3717827015,-179.9385071,-63.71746445,-29.25658035,8.826350212,-0.093552597,-4.247256756,3.153781176,0.425977588,-0.845814586
9576,3717843682,-179.9612885,-63.70386887,-29.21793175,8.854563713,-0.114047594,-4.157616615,2.042062283,-0.21670267,-0.827885687
9577,3717860349,-179.9953308,-63.67748642,-29.17568588,8.893204689,-0.240189835,-4.164635658,1.562080026,-0.985198855,-0.925943911
9578,3717877016,179.9707947,-63.65571594,-29.12153625,8.933271408,-0.298413277,-4.201997757,2.211092949,-0.70844084,-1.242926598
9579,3717893683,179.9355774,-63.63367844,-29.04336739,8.90470314,-0.297872722,-4.251014709,3.418719769,-0.723155439,-1.884845376
9580,3717910350,179.8969574,-63.60342407,-28.95351791,8.887890816,-0.20985648,-4.259407997,3.849717379,-1.213613153,-2.20354414
9581,3717927017,179.8478546,-63.56300354,-28.86539078,8.890097618,-0.117043279,-4.27177,3.125440836,-1.822375655,-2.159873962
9582,3717943684,179.8023529,-63.53948212,-28.77913284,8.859367371,-0.111325584,-4.223827362,3.237253904,-0.806576073,-2.111184597
9583,3717960351,179.7702942,-63.52069855,-28.69450951,8.873661995,-0.187338099,-4.165288925,3.956714153,-0.521826804,-2.068347216
9584,3717977018,179.7171326,-63.50764465,-28.59736633,8.932238579,-0.203574046,-4.315982819,3.359297514,-0.172405481,-2.403642893
9585,3717993685,179.6429596,-63.52135468,-28.49595833,8.938640594,-0.183338419,-4.307955742,2.329193354,1.434708238,-2.507886648
9586,3718010352,179.5953827,-63.52278137,-28.41256523,8.8516922,-0.113486052,-4.256993294,2.9635818,0.698548019,-2.034756184
9587,3718027019,179.5586853,-63.49059296,-28.34889221,8.810995102,-0.048393309,-4.237013817,2.548040867,-1.322377205,-1.517059326
9588,3718043686,179.5240936,-63.4455452,-28.28105927,8.845740318,-0.084810175,-4.253580093,2.895042419,-2.089247227,-1.637631416
9589,3718060353,179.5104523,-63.41960526,-28.23204803,8.956933975,-0.109904885,-4.20567894,3.140104055,-0.948175728,-1.124557614
9590,3718077020,179.484726,-63.42073059,-28.18490982,8.939552307,-0.169051379,-4.20608139,2.322008848,0.675291598,-1.0650208
9591,3718093687,179.4460449,-63.41519165,-28.14599991,8.873213768,-0.10699784,-4.250357628,1.105021477,0.273851007,-0.849105835
9592,3718110354,179.4173279,-63.40017319,-28.11705208,8.876660347,-0.055533905,-4.264923096,1.162726879,-0.293066919,-0.584129632
9593,3718127021,179.3913422,-63.38851929,-28.09581757,8.899127007,-0.019563572,-4.218274593,0.909404457,-0.098890625,-0.374572933
9594,3718143688,179.3708954,-63.36771011,-28.08831406,8.916893959,-0.045010146,-4.212200165,0.509859085,-0.64772588,-0.012595044
