PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,2283400293,-122.2111664,-80.09454346,35.66281891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2283416960,-119.0765762,-80.01209259,32.73160172,9.735214233,-1.629215956,-0.751469135,8.973308563,7.792690754,11.17613125,0.162254,-0.027154,-0.012524,0.149555,0.129878,0.186269
2,2283433627,-116.4190292,-79.84187317,30.28637314,9.724508286,-1.516900778,-0.778629899,8.026654243,7.265060425,10.61679173,0.324329,-0.052436,-0.025501,0.283333,0.250962,0.363216
3,2283450294,-114.7378616,-79.71326447,28.801754,9.718069077,-1.514120221,-0.802334011,7.299322605,6.357990742,10.3187027,0.486297,-0.077671,-0.038873,0.404988,0.356929,0.535194
4,2283466961,-113.6295471,-79.61236572,27.85733604,9.668540955,-1.598710656,-0.815148473,5.990756035,6.221833706,9.85179615,0.647439,-0.104316,-0.052459,0.504834,0.460626,0.699391
5,2283483628,-112.7726364,-79.51302338,27.12995529,9.771286011,-1.580407858,-0.694998145,5.184204102,6.398771763,8.912658691,0.810294,-0.130656,-0.064042,0.591237,0.567272,0.847935
6,2283500295,-112.1015091,-79.43412781,26.52989578,9.864135742,-1.463041902,-0.492317468,1.651244998,5.165641308,8.104572296,0.974696,-0.15504,-0.072247,0.618758,0.653366,0.983011
7,2283516962,-111.5723495,-79.38355255,26.01119804,9.740592003,-1.580607891,-0.495907664,-1.895173907,2.87872076,7.951164246,1.137039,-0.181383,-0.080512,0.587172,0.701345,1.11553
8,2283533629,-111.1310043,-79.32871246,25.55064774,9.67921257,-1.556385756,-0.623133957,-3.525819778,1.489052296,7.700850487,1.298359,-0.207323,-0.090898,0.528408,0.726163,1.243878
9,2283550296,-110.8858719,-79.25684357,25.24892998,9.690854073,-1.461310625,-0.540666699,-5.28769207,0.044374015,7.934061527,1.459873,-0.231678,-0.099909,0.44028,0.726903,1.376112
10,2283566963,-110.8800125,-79.17470551,25.14174461,9.636942863,-1.516929388,-0.389455676,-7.758795261,-2.236847639,8.159236908,1.620489,-0.25696,-0.1064,0.310967,0.689622,1.512099
11,2283583630,-111.0024109,-79.08319855,25.13821793,9.624158859,-1.66614902,-0.488273472,-9.376961708,-4.103291035,8.215906143,1.780892,-0.284729,-0.114538,0.154684,0.621234,1.649031
12,2283600297,-111.2265396,-78.97473145,25.21956253,9.587175369,-1.759689212,-0.660830438,-10.35826206,-5.367022514,8.218197823,1.940678,-0.314057,-0.125552,-0.017954,0.531784,1.786001
13,2283616964,-111.5191498,-78.84502411,25.37316322,9.646018982,-1.708393812,-0.772356987,-10.02586746,-6.092803955,8.39186573,2.101445,-0.34253,-0.138425,-0.185052,0.430237,1.925865
14,2283633631,-111.8870544,-78.6947937,25.60483742,9.653624535,-1.74410212,-0.687060535,-9.778231621,-6.828362942,8.907167435,2.262339,-0.371598,-0.149876,-0.348023,0.316431,2.074318
15,2283650298,-112.3252182,-78.52386475,25.90286446,9.626801491,-1.679073453,-0.768353224,-9.899879456,-7.926624298,9.45663166,2.422786,-0.399583,-0.162682,-0.513021,0.184321,2.231929
16,2283666965,-112.82164,-78.33609009,26.24784851,9.621175766,-1.711478353,-0.85337615,-10.2678833,-8.736395836,10.05166721,2.583139,-0.428108,-0.176905,-0.684152,0.038714,2.399457
17,2283683632,-113.3939362,-78.12743378,26.66417885,9.66382885,-1.697803974,-0.793562472,-10.63211823,-9.864825249,10.71988773,2.744203,-0.456405,-0.190131,-0.861354,-0.1257,2.578122
18,2283700299,-114.0451813,-77.89992523,27.1517086,9.640759468,-1.773631692,-0.704411447,-11.07185268,-11.26362801,11.27909279,2.904882,-0.485966,-0.201871,-1.045885,-0.313427,2.766107
19,2283716966,-114.7802353,-77.6479187,27.70730209,9.581965446,-1.755598783,-0.660728633,-12.03966522,-13.01807213,12.00035,3.064581,-0.515226,-0.212883,-1.246546,-0.530395,2.966113
20,2283733633,-115.608017,-77.36118317,28.35490227,9.611253738,-1.783742428,-0.754395783,-12.293787,-15.43996716,13.12193108,3.224769,-0.544955,-0.225456,-1.451442,-0.787728,3.184812
21,2283750300,-116.486145,-77.03689575,29.06280327,9.560254097,-1.834412932,-0.85250634,-11.64842606,-17.62405968,14.45496178,3.384107,-0.575529,-0.239664,-1.645582,-1.081462,3.425728
22,2283766967,-117.4151917,-76.67475891,29.82831764,9.614253998,-1.746895313,-0.868018746,-11.30747318,-19.80373955,15.69120216,3.544345,-0.604644,-0.254131,-1.83404,-1.411524,3.687248
23,2283783634,-118.4002686,-76.27053833,30.6404705,9.632949829,-1.742412329,-0.996290505,-11.82422256,-22.14739037,17.21393967,3.704894,-0.633684,-0.270736,-2.03111,-1.780647,3.974147
24,2283800301,-119.3921051,-75.83870697,31.46983719,9.667392731,-1.913692594,-1.154414654,-11.31182575,-23.71632004,18.11553764,3.866017,-0.665579,-0.289976,-2.21964,-2.175919,4.276073
25,2283816968,-120.3964157,-75.37133789,32.30762863,9.774160385,-1.971317768,-1.212436795,-11.52742863,-25.44559097,19.27616501,4.02892,-0.698434,-0.310183,-2.411764,-2.600012,4.597342
26,2283833635,-121.3918991,-74.87046814,33.11934662,9.631407738,-1.860894442,-1.167615771,-12.48789501,-26.77517128,20.53566551,4.189443,-0.729449,-0.329643,-2.619896,-3.046265,4.939603
27,2283850302,-122.4257431,-74.32053375,33.97380066,9.53331852,-1.934832931,-1.199879527,-12.47802925,-29.63300896,22.06125832,4.348332,-0.761696,-0.349641,-2.827863,-3.540148,5.307291
28,2283866969,-123.5080566,-73.71338654,34.87865829,9.58540535,-1.974657893,-1.076337337,-12.43338013,-33.08843613,23.67510223,4.508089,-0.794607,-0.36758,-3.035086,-4.091622,5.701876
29,2283883636,-124.6670609,-73.04515839,35.8326416,9.658655167,-1.990871787,-1.039226294,-14.34244251,-36.94044495,25.30182457,4.669067,-0.827788,-0.3849,-3.274127,-4.707296,6.123573
30,2283900303,-125.8875885,-72.31128693,36.81080627,9.771054268,-2.068986893,-1.333681226,-16.81852722,-40.84536362,27.16878891,4.831918,-0.862271,-0.407128,-3.554436,-5.388052,6.576386
31,2283916970,-127.1415558,-71.50849152,37.77610397,9.889252663,-2.104646683,-1.328436732,-19.81241798,-44.37453461,29.37682533,4.996739,-0.897348,-0.429269,-3.884643,-6.127628,7.066
