PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
3659,4194111670,-29.13831,9.632469,51.87914,0.8093834,-0.21499243,1.6985734,5.395399,0.19008957,2.2315695,-24.989899,0.329634,-19.92188,-162.453821,-28.081099,-63.199324
3660,4194128337,-29.26447,9.629776,51.74933,0.809535,-0.2146571,1.6964242,5.466319,0.19447091,2.2389808,-24.976407,0.326056,-19.893606,-162.362716,-28.077858,-63.162008
3661,4194145004,-29.393826,9.628235,51.613907,0.8097992,-0.21372762,1.6943908,5.5369883,0.19884996,2.2406712,-24.96291,0.322494,-19.865366,-162.270433,-28.074544,-63.124663
3662,4194161671,-29.476383,9.624931,51.52824,0.8103533,-0.21399829,1.6930817,5.590181,0.18313144,2.2420173,-24.949404,0.318927,-19.837148,-162.177263,-28.071492,-63.087296
3663,4194178338,-29.506779,9.619629,51.49789,0.8113165,-0.21544436,1.6926793,5.6254673,0.1482994,2.2402012,-24.935882,0.315336,-19.808937,-162.083505,-28.06902,-63.049959
3664,4194195005,-29.505367,9.613937,51.500454,0.81241035,-0.21745941,1.6927304,5.6476135,0.09867704,2.2368045,-24.922342,0.311712,-19.780725,-161.989378,-28.067375,-63.012679
3665,4194211672,-29.45702,9.607063,51.5525,0.81370926,-0.22048745,1.6934514,5.6518536,0.029296309,2.2321742,-24.90878,0.308037,-19.752501,-161.89518,-28.066887,-62.975476
3666,4194228339,-29.390972,9.6006775,51.620686,0.81537247,-0.223115,1.6947681,5.649189,-0.042119056,2.217355,-24.89519,0.304318,-19.724255,-161.801027,-28.067589,-62.93852
3667,4194245006,-29.307072,9.594948,51.704994,0.81738853,-0.2252784,1.6966771,5.6393514,-0.11531913,2.1919374,-24.881567,0.300563,-19.695977,-161.707038,-28.069511,-62.901988
3668,4194261673,-29.176235,9.588387,51.837833,0.8197489,-0.22805497,1.6994302,5.6123557,-0.20346162,2.1601994,-24.867905,0.296762,-19.667653,-161.613499,-28.072902,-62.865985
3669,4194278340,-29.002872,9.5813675,52.01394,0.8224983,-0.23114273,1.7030406,5.569891,-0.30301097,2.1198497,-24.854197,0.29291,-19.639269,-161.520667,-28.077952,-62.830654
3670,4194295007,-28.901035,9.575386,52.11612,0.8239536,-0.23313037,1.705516,5.5566244,-0.3546566,2.1037889,-24.840464,0.289024,-19.610844,-161.428057,-28.083863,-62.795591
3671,4194311674,-28.876797,9.570389,52.13839,0.823966,-0.234,1.7067295,5.575302,-0.35395923,2.1152782,-24.826731,0.285124,-19.582399,-161.335135,-28.089762,-62.760336
3672,4194328341,-28.877796,9.565933,52.134075,0.8233614,-0.23420641,1.7076621,5.6055193,-0.32641104,2.1368527,-24.813008,0.281221,-19.553938,-161.24171,-28.095202,-62.724722
3673,4194345008,-28.934353,9.562363,52.072094,0.82167053,-0.23337623,1.7077835,5.659359,-0.2552909,2.177705,-24.799313,0.277331,-19.525475,-161.147387,-28.099457,-62.688427
3674,4194361675,-28.97054,9.55851,52.03114,0.81986046,-0.2326,1.7083482,5.7075467,-0.17840227,2.219501,-24.785649,0.273454,-19.497003,-161.052261,-28.10243,-62.651435
3675,4194378342,-28.981411,9.554321,52.01627,0.8179903,-0.23190364,1.7094524,5.7483587,-0.0970521,2.2608435,-24.772016,0.269589,-19.468512,-160.956455,-28.104048,-62.613754
3676,4194395009,-29.030796,9.550682,51.961666,0.815156,-0.23041245,1.7100195,5.806902,0.022743702,2.3189414,-24.75843,0.265749,-19.440012,-160.859673,-28.103669,-62.575105
3677,4194411676,-29.102482,9.54734,51.884106,0.81154823,-0.22833982,1.7103211,5.8771157,0.17389423,2.3900445,-24.744904,0.261943,-19.411507,-160.761721,-28.100771,-62.535271
3678,4194428343,-29.144466,9.545158,51.836533,0.8092251,-0.2272872,1.7108004,5.9215555,0.25926685,2.4490104,-24.731417,0.258155,-19.382994,-160.663028,-28.09645,-62.494454
3679,4194445010,-29.159855,9.544312,51.81571,0.80825424,-0.22729668,1.7113601,5.9398804,0.2742998,2.4958785,-24.717946,0.254367,-19.354471,-160.56403,-28.091878,-62.452856
3680,4194461677,-29.162548,9.544235,51.80773,0.8077774,-0.22774568,1.7119699,5.9458833,0.26083553,2.540281,-24.704483,0.250571,-19.325938,-160.464932,-28.087531,-62.410518
3681,4194478344,-29.140408,9.545204,51.82495,0.80833054,-0.22905365,1.712708,5.9299984,0.19298452,2.5760012,-24.691011,0.246753,-19.297393,-160.366099,-28.084315,-62.367585
3682,4194495011,-29.140049,9.547012,51.81975,0.8084688,-0.23004273,1.7130446,5.920567,0.13688996,2.6222258,-24.677537,0.242919,-19.268842,-160.267423,-28.082034,-62.323881
3683,4194511678,-29.163387,9.549622,51.79022,0.80811214,-0.23065826,1.7129569,5.9189076,0.096131265,2.6800904,-24.664068,0.239075,-19.240293,-160.168775,-28.080432,-62.279213
3684,4194528345,-29.17731,9.553413,51.770153,0.8084402,-0.23184893,1.7127594,5.90274,0.015297636,2.7348986,-24.650594,0.235211,-19.211747,-160.070396,-28.080177,-62.233631
3685,4194545012,-29.19205,9.55838,51.74914,0.8091507,-0.23336998,1.7123262,5.8780384,-0.09189513,2.7908852,-24.637108,0.231322,-19.183208,-159.972429,-28.081709,-62.187116
3686,4194561679,-29.206318,9.564087,51.72923,0.80956745,-0.23385432,1.7120054,5.8559318,-0.14672163,2.8476663,-24.623615,0.227424,-19.154675,-159.87483,-28.084154,-62.139655
3687,4194578346,-29.216602,9.570595,51.71409,0.80977917,-0.23328546,1.7118483,5.834779,-0.14864698,2.9035444,-24.610119,0.223536,-19.126144,-159.777584,-28.086631,-62.091263
3688,4194595013,-29.230877,9.578133,51.695274,0.80989647,-0.23214623,1.7115886,5.8133082,-0.1259408,2.9616766,-24.596621,0.219667,-19.097618,-159.680696,-28.08873,-62.041902
3689,4194611680,-29.248058,9.586609,51.67411,0.80978394,-0.23008141,1.7113203,5.793852,-0.058475792,3.0215058,-24.583125,0.215832,-19.069096,-159.584132,-28.089705,-61.991544
3690,4194628347,-29.260609,9.596436,51.65792,0.8101349,-0.22813395,1.7109056,5.7640586,-0.006542504,3.0796204,-24.569623,0.21203,-19.040581,-159.488064,-28.089814,-61.940217
3691,4194645014,-29.26923,9.607674,51.645996,0.8109808,-0.22634336,1.7103112,5.723554,0.02722089,3.1361604,-24.556107,0.208258,-19.012076,-159.392671,-28.08936,-61.887948
3692,4194661681,-29.276669,9.620094,51.635937,0.81186104,-0.22388276,1.7096809,5.6802864,0.09007278,3.1922112,-24.542576,0.204527,-18.983581,-159.298,-28.087859,-61.834744
3693,4194678348,-29.281414,9.633812,51.62921,0.8129368,-0.22096565,1.708976,5.6314993,0.16937302,3.246982,-24.529027,0.200844,-18.955098,-159.204142,-28.085036,-61.780628
3694,4194695015,-29.318089,9.646996,51.590706,0.8137369,-0.21854058,1.7084506,5.593452,0.22849783,3.2907805,-24.515465,0.197202,-18.926624,-159.110918,-28.081228,-61.725782
3695,4194711682,-29.390156,9.659439,51.516926,0.8141813,-0.21659651,1.7081474,5.56846,0.26961413,3.3224683,-24.501895,0.193592,-18.898155,-159.01811,-28.076734,-61.670408
3696,4194728349,-29.48032,9.672119,51.425507,0.81460667,-0.2148256,1.707918,5.5468287,0.30157068,3.345851,-24.488318,0.190012,-18.86969,-158.925663,-28.071708,-61.614644
3697,4194745016,-29.5984,9.68454,51.306465,0.8148756,-0.21346602,1.7078412,5.5333185,0.31565112,3.3579144,-24.474737,0.186454,-18.841226,-158.833441,-28.066447,-61.558679
3698,4194761683,-29.72556,9.697784,51.179134,0.8151512,-0.21174315,1.7077944,5.5205193,0.34562036,3.3643818,-24.461151,0.182925,-18.812763,-158.741432,-28.060687,-61.502606
3699,4194778350,-29.860752,9.711929,51.04458,0.8154621,-0.20962593,1.7077703,5.5077667,0.3925665,3.365139,-24.44756,0.179431,-18.7843,-158.649636,-28.054144,-61.44652
3700,4194795017,-30.022282,9.725967,50.88426,0.815609,-0.20770296,1.7079029,5.503025,0.43241727,3.3543954,-24.433967,0.175969,-18.755835,-158.557919,-28.046937,-61.390613
3701,4194811684,-30.206577,9.74012,50.701836,0.815629,-0.20581064,1.7081711,5.504874,0.4723934,3.3329577,-24.420373,0.172539,-18.727365,-158.466171,-28.039064,-61.335064
3702,4194828351,-30.38239,9.754051,50.527473,0.81552696,-0.20356426,1.7072324,5.494598,0.5013535,3.316945,-24.406781,0.169146,-18.698911,-158.374594,-28.030708,-61.279782
3703,4194845018,-30.549526,9.76754,50.36122,0.8152733,-0.20099476,1.7049735,5.4716644,0.5155611,3.3068461,-24.393193,0.165796,-18.670495,-158.2834,-28.022115,-61.224668
3704,4194861685,-30.720997,9.780922,50.19076,0.8148794,-0.19817236,1.7020154,5.444198,0.52528006,3.2952127,-24.379612,0.162493,-18.642128,-158.192663,-28.01336,-61.169748
3705,4194878352,-30.889042,9.794014,50.02348,0.81433487,-0.19500634,1.6979797,5.407411,0.5266401,3.286119,-24.36604,0.159243,-18.613828,-158.102539,-28.004583,-61.114979
3706,4194895019,-31.077198,9.806763,49.836502,0.81357765,-0.19187447,1.6936781,5.374378,0.5197078,3.2681274,-24.35248,0.156045,-18.5856,-158.012966,-27.995921,-61.06051
3707,4194911686,-31.287098,9.819138,49.62821,0.81260204,-0.18878499,1.6891477,5.345971,0.50499207,3.2403169,-24.338937,0.152899,-18.557448,-157.923866,-27.987504,-61.006505
3708,4194928353,-31.50079,9.830986,49.416027,0.811409,-0.18547365,1.6836432,5.311663,0.47879225,3.2117233,-24.325414,0.149808,-18.529387,-157.835338,-27.979524,-60.952976
3709,4194945020,-31.72359,9.842232,49.19475,0.80997944,-0.18201992,1.6773199,5.274318,0.44085836,3.1797276,-24.311914,0.146774,-18.501432,-157.747433,-27.972176,-60.899981
3710,4194961687,-31.938007,9.853012,48.983086,0.8090563,-0.17927858,1.6734082,5.249808,0.43090898,3.150752,-24.29843,0.143786,-18.473542,-157.659936,-27.964994,-60.847468
3711,4194978354,-32.140293,9.863243,48.784805,0.8087063,-0.1773093,1.6721216,5.238485,0.4518742,3.1264591,-24.284952,0.140831,-18.445673,-157.572628,-27.957463,-60.79536
3712,4194995021,-32.342503,9.872787,48.587368,0.8085518,-0.17576733,1.6720291,5.23488,0.4844802,3.1019564,-24.271476,0.137902,-18.417806,-157.48538,-27.949388,-60.743661
3713,4195011688,-32.539097,9.881607,48.39666,0.8087988,-0.17489484,1.674019,5.243219,0.53955305,3.0793705,-24.257996,0.134987,-18.389906,-157.397993,-27.940395,-60.692338
3714,4195028355,-32.735905,9.8895645,48.206017,0.8090105,-0.17413107,1.6760163,5.251774,0.5929536,3.0571098,-24.244512,0.132085,-18.361972,-157.310463,-27.930512,-60.641386
3715,4195045022,-32.93355,9.896576,48.014763,0.8091564,-0.17346236,1.6779221,5.260229,0.6430955,3.0349264,-24.231026,0.129194,-18.334007,-157.222793,-27.919794,-60.590804
3716,4195061689,-33.123997,9.902664,47.831665,0.8096361,-0.17338976,1.6815584,5.278181,0.7114464,3.015613,-24.217532,0.126304,-18.305981,-157.134823,-27.907937,-60.540544
3717,4195078356,-33.308132,9.907722,47.65561,0.8103609,-0.17381057,1.6865145,5.303339,0.7930324,2.9989667,-24.204026,0.123407,-18.277872,-157.046434,-27.89472,-60.490561
3718,4195095023,-33.555904,9.913696,47.41212,0.8108301,-0.17358616,1.688604,5.342838,0.8632908,2.984167,-24.190512,0.120514,-18.249729,-156.957387,-27.880332,-60.440825
3719,4195111690,-33.87277,9.920708,47.09533,0.8110552,-0.17268077,1.6876687,5.398784,0.9228102,2.9717865,-24.176994,0.117636,-18.221601,-156.867407,-27.864952,-60.391295
3720,4195128357,-34.226124,9.9277725,46.739925,0.8112154,-0.17157766,1.6854346,5.4665213,0.9801184,2.9623232,-24.163474,0.114776,-18.19351,-156.776298,-27.848617,-60.341923
3721,4195145024,-34.635372,9.935387,46.325172,0.8111906,-0.16998175,1.6807951,5.5486684,1.0293043,2.9559145,-24.149954,0.111943,-18.165497,-156.68382,-27.831462,-60.292658
3722,4195161691,-35.057865,9.942383,45.896553,0.81137943,-0.1687049,1.6766787,5.644023,1.0903674,2.9539952,-24.136431,0.109131,-18.137552,-156.589753,-27.813289,-60.243425
3723,4195178358,-35.491367,9.948662,45.45638,0.8118038,-0.1677964,1.673233,5.7527456,1.1644161,2.9569569,-24.122901,0.106334,-18.109665,-156.493874,-27.793882,-60.194142
3724,4195195025,-35.974445,9.955238,44.963547,0.8121681,-0.16660163,1.6680402,5.8781247,1.2366706,2.9644642,-24.109365,0.103557,-18.081864,-156.395905,-27.773271,-60.144734
3725,4195211692,-36.498714,9.961868,44.426945,0.81256104,-0.16529563,1.6617067,6.0203733,1.3115848,2.9771142,-24.095822,0.100802,-18.054169,-156.295565,-27.751411,-60.095115
3726,4195228359,-37.022396,9.967186,43.89349,0.81275654,-0.1641654,1.6561809,6.1207614,1.3853548,2.9835958,-24.082276,0.098066,-18.026566,-156.193552,-27.728322,-60.045388
3727,4195245026,-37.547115,9.971191,43.361637,0.81269836,-0.16315886,1.651337,6.174296,1.4560304,2.9830089,-24.068731,0.095347,-17.999044,-156.090647,-27.704055,-59.995671
3728,4195261693,-38.087864,9.97435,42.814297,0.8125553,-0.1622586,1.6466442,6.209161,1.5285997,2.9813485,-24.055188,0.092643,-17.9716,-155.987161,-27.678578,-59.945982
3729,4195278360,-38.63496,9.976295,42.262398,0.8122568,-0.16152194,1.6425511,6.208933,1.6016006,2.9755702,-24.04165,0.089951,-17.944224,-155.883679,-27.651885,-59.896389
3730,4195295027,-39.223713,9.978096,41.66695,0.811862,-0.16061535,1.6372759,6.208859,1.6736306,2.9725456,-24.028119,0.087274,-17.916936,-155.780198,-27.623991,-59.846847
3731,4195311694,-39.856495,9.979752,41.02531,0.8113804,-0.1595299,1.6307364,6.210883,1.7450217,2.972887,-24.014596,0.084615,-17.889757,-155.676683,-27.594907,-59.797299
3732,4195328361,-40.50828,9.9804535,40.365498,0.8107128,-0.15847424,1.6241785,6.182828,1.8150995,2.9705863,-24.001084,0.081974,-17.862687,-155.573636,-27.564655,-59.747789
3733,4195345028,-41.187298,9.980431,39.678436,0.8098688,-0.157374,1.6172042,6.13163,1.8835227,2.967163,-23.987586,0.079351,-17.835734,-155.471442,-27.533263,-59.698336
3734,4195361695,-41.86043,9.98085,38.992496,0.8092699,-0.15598267,1.6108403,6.127649,1.9331152,2.968194,-23.974098,0.076751,-17.808887,-155.369315,-27.501044,-59.648866
3735,4195378362,-42.522038,9.98172,38.313175,0.808938,-0.15429068,1.6053116,6.173139,1.9617401,2.9734616,-23.960616,0.074179,-17.782132,-155.266429,-27.468348,-59.599308
3736,4195395029,-43.193966,9.9826355,37.62031,0.80867386,-0.15235573,1.5998433,6.238968,1.977004,2.9813633,-23.947138,0.07164,-17.755468,-155.162446,-27.435398,-59.549619
3737,4195411696,-43.86632,9.983887,36.922504,0.808588,-0.15010548,1.594754,6.3434935,1.9736342,2.9932446,-23.933662,0.069138,-17.728889,-155.056721,-27.402504,-59.499732
3738,4195428363,-44.552677,9.984589,36.209656,0.8084049,-0.14773008,1.5897539,6.4370165,1.961209,3.0044227,-23.920189,0.066676,-17.702393,-154.949437,-27.369817,-59.449658
3739,4195445030,-45.25462,9.984688,35.480217,0.80810547,-0.1452237,1.5847877,6.516816,1.9397433,3.0147223,-23.906721,0.064256,-17.67598,-154.840823,-27.337488,-59.399413
3740,4195461697,-45.956593,9.984917,34.74693,0.8079233,-0.14242151,1.580287,6.6233845,1.8994172,3.0276027,-23.893256,0.061882,-17.649642,-154.730433,-27.305831,-59.348953
3741,4195478364,-46.661243,9.985077,34.007763,0.80779266,-0.13935333,1.5761979,6.746231,1.8416748,3.042067,-23.879793,0.059559,-17.623372,-154.617996,-27.275136,-59.298252
3742,4195495031,-47.338886,9.984245,33.304325,0.8079767,-0.1372602,1.5716931,6.7874775,1.8072832,3.0419307,-23.866327,0.057271,-17.597177,-154.504871,-27.245015,-59.247553
3743,4195511698,-47.983646,9.9824295,32.64325,0.8085327,-0.13624018,1.5667752,6.742307,1.7985057,3.0259228,-23.852851,0.055,-17.571064,-154.392499,-27.21504,-59.197121
3744,4195528365,-48.610615,9.979927,32.004295,0.8092985,-0.13572297,1.5618199,6.649684,1.796559,3.0009246,-23.839363,0.052738,-17.545034,-154.281671,-27.185097,-59.147106
3745,4195545032,-49.209766,9.976509,31.40075,0.81035995,-0.13605568,1.5566329,6.482911,1.8123118,2.9623299,-23.825857,0.05047,-17.51909,-154.173622,-27.154892,-59.097734
3746,4195561699,-49.793636,9.9729,30.812431,0.8116274,-0.13646671,1.5518143,6.308834,1.8188565,2.9203134,-23.81233,0.048196,-17.493226,-154.068475,-27.124578,-59.049062
3747,4195578366,-50.36176,9.969124,30.239464,0.813097,-0.13691887,1.5474209,6.1298237,1.8144536,2.8751688,-23.798778,0.045914,-17.467436,-153.966311,-27.094337,-59.001143
3748,4195595033,-50.89793,9.964615,29.704823,0.81489944,-0.13810691,1.5430032,5.8887696,1.8218572,2.8176174,-23.785196,0.043612,-17.441719,-153.868165,-27.063973,-58.954183
3749,4195611700,-51.403255,9.959549,29.205898,0.81702137,-0.13988057,1.538707,5.598684,1.8353633,2.749516,-23.771579,0.041281,-17.416074,-153.774854,-27.033384,-58.908358
3750,4195628367,-52.00651,9.952042,28.602306,0.81794834,-0.13990831,1.5323124,5.45879,1.875799,2.7097173,-23.757947,0.038949,-17.390535,-153.683874,-27.002121,-58.863196
3751,4195645034,-52.717014,9.941803,27.884571,0.8175554,-0.13805768,1.5235506,5.481091,1.948363,2.7006874,-23.744321,0.036648,-17.365142,-153.592522,-26.969648,-58.818185
3752,4195661701,-53.473515,9.929832,27.11856,0.81655407,-0.13533771,1.5135725,5.57973,2.0396867,2.7051368,-23.730712,0.034392,-17.339916,-153.499526,-26.935653,-58.773099
3753,4195678368,-54.311207,9.9155655,26.266117,0.8145237,-0.13111523,1.5017266,5.8092427,2.156943,2.733684,-23.717137,0.032207,-17.314887,-153.402705,-26.899704,-58.727538
3754,4195695035,-55.14957,9.899895,25.41642,0.8123808,-0.12693104,1.4891939,6.038534,2.294271,2.7611368,-23.703597,0.030091,-17.290067,-153.302063,-26.861466,-58.681519
3755,4195711702,-55.983593,9.882851,24.574944,0.8101711,-0.12285954,1.4760351,6.261662,2.4516437,2.7862167,-23.690094,0.028043,-17.265466,-153.197702,-26.820605,-58.635082
3756,4195728369,-56.884243,9.863457,23.663977,0.8070612,-0.11757597,1.4610668,6.592269,2.639075,2.830842,-23.676643,0.026083,-17.241115,-153.087831,-26.77662,-58.587901
3757,4195745036,-57.834988,9.841858,22.701921,0.80322933,-0.111389816,1.4445038,7.004369,2.8562644,2.889956,-23.663256,0.024227,-17.21704,-152.971092,-26.729016,-58.539735
3758,4195761703,-58.676434,9.823868,21.843727,0.8005142,-0.10762444,1.4327714,7.2608404,2.948874,2.925035,-23.649914,0.022433,-17.19316,-152.850078,-26.679868,-58.490984
3759,4195778370,-59.40243,9.809853,21.094265,0.79897594,-0.106429905,1.4263241,7.3540845,2.9036565,2.9353237,-23.636598,0.020659,-17.169388,-152.72751,-26.631474,-58.442062
3760,4195795037,-60.07767,9.797165,20.39222,0.79785156,-0.1064339,1.4222481,7.3801513,2.7938094,2.935902,-23.6233,0.018885,-17.145684,-152.604507,-26.584911,-58.39313
3761,4195811704,-60.6598,9.787384,19.778397,0.79761887,-0.10852775,1.4223164,7.27683,2.575968,2.916844,-23.610006,0.017076,-17.121979,-152.483226,-26.541978,-58.344516
3762,4195828371,-61.25977,9.776848,19.14265,0.796978,-0.110429704,1.4224787,7.21301,2.3426547,2.9064908,-23.596723,0.015236,-17.098271,-152.363009,-26.502934,-58.296074
3763,4195845038,-61.8827,9.765358,18.479929,0.7958574,-0.11203477,1.422532,7.1972084,2.0986004,2.9062967,-23.583459,0.013369,-17.074562,-152.243056,-26.467957,-58.247636
3764,4195861705,-62.43642,9.756119,17.880552,0.79531384,-0.115261495,1.4260669,7.0916233,1.7589222,2.8936749,-23.570204,0.011448,-17.050794,-152.124862,-26.438642,-58.199408
3765,4195878372,-62.943546,9.748413,17.321888,0.79507446,-0.11964801,1.4322816,6.9314814,1.3415608,2.87463,-23.556953,0.009454,-17.026923,-152.009337,-26.416283,-58.151498
3766,4195895039,-63.410877,9.740334,16.815744,0.7949238,-0.12236047,1.4350073,6.814247,1.0554614,2.858529,-23.543704,0.007415,-17.003006,-151.895766,-26.398692,-58.103856
3767,4195911706,-63.82635,9.732155,16.375555,0.79497814,-0.12337753,1.4341502,6.7317495,0.908751,2.843488,-23.530454,0.005359,-16.979103,-151.78357,-26.383546,-58.056465
3768,4195928373,-64.20064,9.724342,15.981731,0.79515743,-0.12374684,1.432146,6.6608377,0.8131896,2.829074,-23.517201,0.003297,-16.955234,-151.672556,-26.369993,-58.009314
3769,4195945040,-64.53087,9.716515,15.642197,0.79544926,-0.12274718,1.4274232,6.623452,0.8238133,2.817073,-23.503944,0.001251,-16.931444,-151.562165,-26.356263,-57.962363
